Title ID	PSN Name	Region	Match Type	Redump Title	Serial
NPUJ00089	TNN Motor Sports Hardcore 4×4	US	fuzzy:0.97	TNN Motor Sports HardCore 4X4	SLUS-00089
NPUJ00113	Sim City 2000	US	fuzzy:0.96	SimCity 2000	SLUS-00113
NPUJ00152	Tomb Raider	US	exact	Tomb Raider	SLUS-00152
NPUJ00157	Hi-Octane: The Track Fights Back	US	exact	Hi-Octane: The Track Fights Back!	SLUS-00157
NPUJ00190	Oddworld: Abe’s Oddysee	US	exact	Oddworld: Abe's Oddysee | Oddworld: Abe's Oddysee (Demo)	SLUS-00190 / SLUS-90004
NPUJ00195	Romance of the Three Kingdoms IV	US	fuzzy:0.91	Romance of the Three Kingdoms IV: Wall of Fire | Romance of the Three Kingdoms VI: Awakening of the Dragon	SLUS-00195 / SLUS-00918
NPUJ00197	Street Fighter Alpha: Warriors’ Dreams	US	exact	Street Fighter Alpha: Warriors' Dreams	SLUS-00197
NPUJ00200	Extreme Pinball	US	exact	Extreme Pinball	SLUS-00200
NPUJ00213	Tekken 2	US	exact	Tekken 2	SLUS-00213
NPUJ00215	Namco Museum Vol. 1	US	exact	Namco Museum Vol. 1 (Rev 1)	SLUS-00215
NPUJ00216	Namco Museum Vol. 2	US	exact	Namco Museum Vol. 2	SLUS-00216
NPUJ00232	Pandemonium	US	exact	Pandemonium! (Rev 1)	SLUS-00232
NPUJ00238	International Track & Field	US	exact	International Track & Field	SLUS-00238
NPUJ00258	Street Fighter Alpha 2	US	exact	Street Fighter Alpha 2	SLUS-00258
NPUJ00270	Wing Commander IV	US	fuzzy:0.90	Wing Commander IV: The Price of Freedom (Disc 1) | Wing Commander IV: The Price of Freedom (Disc 2) | Wing Commander IV: The Price of Freedom (Disc 3) | Wing Commander IV: The Price of Freedom (Disc 4)	SLUS-00270 / SLUS-00271 / SLUS-00272 / SLUS-00273
NPUJ00275	Theme Hospital	US	exact	Theme Hospital	SLUS-00275
NPUJ00277	Populous: The Beginning	US	exact	Populous: The Beginning	SLUS-00277
NPUJ00292	Suikoden	US	exact	Suikoden (Rev 1)	SLUS-00292
NPUJ00297	Star Wars: Dark Forces	US	exact	Star Wars: Dark Forces	SLUS-00297
NPUJ00298	Herc’s Adventures	US	exact	Herc's Adventures	SLUS-00298
NPUJ00313	Gunship	US	exact	Gunship	SLUS-00313
NPUJ00340	Tecmo’s Deception: Invitation to Darkness	US	exact	Tecmo's Deception: Invitation to Darkness	SLUS-00340
NPUJ00341	Perfect Weapon	US	exact	Perfect Weapon	SLUS-00341
NPUJ00377	Ten Pin Alley	US	exact	Ten Pin Alley	SLUS-00377
NPUJ00379	Command & Conquer	US	exact	Command & Conquer (Disc 1) (GDI) | Command & Conquer (Disc 2) (NOD)	SLUS-00379 / SLUS-00410
NPUJ00382	Reloaded	US	fuzzy:0.94(diff region)	Re-Loaded	SLES-00537
NPUJ00398	Namco Museum Vol. 3	US	exact	Namco Museum Vol. 3	SLUS-00398
NPUJ00416	Namco Museum Vol. 4	US	exact	Namco Museum Vol. 4	SLUS-00416
NPUJ00417	Namco Museum Vol. 5	US	exact	Namco Museum Vol. 5	SLUS-00417
NPUJ00431	Command & Conquer: Red Alert	US	exact	Command & Conquer: Red Alert (Disc 1) (Allies) | Command & Conquer: Red Alert (Disc 2) (Soviet)	SLUS-00431 / SLUS-00485
NPUJ00433	Fighting Force	US	exact	Fighting Force (Rev 2)	SLUS-00433
NPUJ00437	Tomb Raider 2	US	exact(other region)	Tomb Raider 2	SLPM-80168 / SLPS-01200 / SLPS-91119 / SLPS-91434
